timestamp,ticker,precio_ejecucion,señal,fiabilidad_ia,monto_invertido
2026-03-12 22:39:55,META,638.09,COMPRA CUÁDRUPLE,64.69,30000.0
2026-03-12 22:39:56,AMD,197.75,COMPRA CUÁDRUPLE,62.209999084472656,30000.0
2026-03-12 22:39:56,TSLA,395.03,COMPRA CUÁDRUPLE,61.20000076293945,30000.0
2026-03-12 22:39:57,QCOM,131.19,COMPRA CUÁDRUPLE,58.77000045776367,30000.0
2026-03-12 22:39:57,PLTR,153.46,COMPRA CUÁDRUPLE,56.84999847412109,30000.0
2026-03-12 22:53:58,INTC,45.25,COMPRA CUÁDRUPLE,65.12999725341797,7607.76
2026-03-12 22:53:58,META,638.09,COMPRA CUÁDRUPLE,64.69000244140625,7607.76
2026-03-12 22:53:59,AMD,197.75,COMPRA CUÁDRUPLE,62.209999084472656,7607.76
2026-03-12 22:53:59,TSLA,395.03,COMPRA CUÁDRUPLE,61.20000076293945,7607.76
2026-03-12 22:54:00,QCOM,131.19,COMPRA CUÁDRUPLE,58.77000045776367,7607.76
2026-03-13 15:29:51,NVDA,181.87,COMPRA CUÁDRUPLE,62.68999862670898,1714.43
2026-03-13 15:29:52,ARM,115.9,COMPRA CUÁDRUPLE,60.65999984741211,1714.43
2026-03-13 15:29:52,CSCO,78.04,COMPRA CUÁDRUPLE,58.72999954223633,1714.43
2026-03-13 15:29:53,TMUS,216.27,COMPRA CUÁDRUPLE,56.619998931884766,1714.43
2026-03-13 15:29:53,PEP,159.3,COMPRA CUÁDRUPLE,55.310001373291016,1714.43
2026-03-13 17:23:32,AVGO,324.18,COMPRA CUÁDRUPLE,65.95999908447266,460.34
2026-03-16 15:46:55,PYPL,45.83,COMPRA CUÁDRUPLE,59.77999877929688,881.47
2026-03-16 15:46:56,MSFT,398.23,COMPRA CUÁDRUPLE,58.04999923706055,881.47
2026-03-17 15:48:29,COIN,205.42,COMPRA CUÁDRUPLE,62.0,1789.44
2026-03-17 15:48:30,INTC,44.1,COMPRA CUÁDRUPLE,59.02000045776367,1789.44
2026-03-17 15:48:30,NFLX,95.48,COMPRA CUÁDRUPLE,56.0099983215332,1789.44
2026-03-17 18:38:09,AMZN,213.45,COMPRA CUÁDRUPLE,59.02999877929688,1037.16
2026-03-17 19:43:14,GOOGL,310.56,COMPRA CUÁDRUPLE,57.59999847412109,883.48
2026-03-18 15:53:23,AAPL,251.74,COMPRA CUÁDRUPLE,58.54999923706055,911.01
2026-03-18 17:45:49,TMUS,205.65,COMPRA CUÁDRUPLE,57.16999816894531,928.21
2026-03-18 18:39:48,ADBE,247.3,COMPRA CUÁDRUPLE,55.70000076293945,831.23
2026-03-19 15:37:14,TXN,185.21,COMPRA CUÁDRUPLE,54.56999969482422,1034.65
2026-03-19 15:37:15,PYPL,44.44,COMPRA CUÁDRUPLE,54.459999084472656,1034.65
2026-03-19 17:42:43,NFLX,90.98,COMPRA CUÁDRUPLE,56.70000076293945,6215.2
2026-03-19 20:07:56,COIN,202.89,COMPRA CUÁDRUPLE,55.11000061035156,5592.6
2026-03-19 20:07:57,ARM,129.87,COMPRA CUÁDRUPLE,54.02000045776367,5592.6
2026-03-19 21:20:24,COIN,202.89,COMPRA CUÁDRUPLE,55.11000061035156,3874.4
2026-03-19 21:20:25,ARM,129.87,COMPRA CUÁDRUPLE,54.02000045776367,3874.4
2026-03-19 22:01:18,ARM,129.87,COMPRA CUÁDRUPLE,54.02000045776367,2767.65
2026-03-20 15:29:24,TSLA,374.4,COMPRA CUÁDRUPLE,62.43999862670898,9172.96
2026-03-20 15:29:24,ARM,134.27,COMPRA CUÁDRUPLE,61.68000030517578,9172.96
2026-03-20 18:07:09,AVGO,314.34,COMPRA CUÁDRUPLE,62.959999084472656,6561.43
2026-03-20 22:00:04,GOOGL,300.77,COMPRA CUÁDRUPLE,56.43000030517578,5762.26
2026-03-23 15:43:11,MSFT,384.86,COMPRA CUÁDRUPLE,59.849998474121094,5172.19
